,"Calcium, Ca","Carbohydrate, by difference",Energy,"Fiber, total dietary","Folate, DFE","Iron, Fe","Magnesium, Mg",Niacin,"Phosphorus, P","Potassium, K",Protein,Riboflavin,Thiamin,"Vitamin A, RAE",Vitamin B-12,Vitamin B-6,"Vitamin C, total ascorbic acid",Vitamin E (alpha-tocopherol),Vitamin K (phylloquinone),"Zinc, Zn"
"(2010, 10013, 1)",7472.471428571429,700.867,4450.628571428573,171.76285714285714,2687.057142857143,85.518,1993.8857142857141,89.9134,4229.771428571428,28748.242857142857,259.7735714285714,7.556257142857143,6.966428571428571,5302.571428571428,10.562285714285713,6.559585714285715,412.40999999999997,72.17885714285714,575.9771428571428,55.63457142857143
"(2010, 10022, 1)",6445.728571428572,629.2588571428571,3660.5428571428565,140.42999999999998,1925.2857142857142,52.11842857142857,1319.2428571428572,68.84474285714286,4131.271428571428,22874.414285714287,160.05014285714287,5.675457142857143,5.666785714285715,4033.457142857143,6.657142857142859,4.884685714285714,325.8857142857143,53.983714285714285,444.0285714285714,42.79857142857143
"(2010, 10063, 1)",5109.728571428572,255.62085714285706,7083.714285714285,147.79428571428573,1953.9571428571428,37.485285714285716,1838.6,70.61485714285715,3094.957142857143,22655.02857142857,234.69585714285714,6.056771428571429,5.724371428571429,4213.914285714286,8.91057142857143,6.272571428571429,413.95142857142855,72.64957142857143,558.26,49.397285714285715
"(2010, 10066, 1)",6290.657142857142,664.7142857142857,8697.114285714284,147.98857142857142,2254.9285714285716,75.55514285714285,1838.4,76.00885714285715,4569.214285714286,24917.17142857143,213.94928571428574,6.239357142857141,5.840285714285714,4432.742857142857,7.578857142857144,6.7464,311.8342857142857,69.63157142857143,491.5314285714286,48.71071428571429
"(2010, 10069, 1)",7678.428571428572,712.23,9641.142857142857,170.98571428571427,2589.4285714285716,88.91142857142857,2096.714285714286,87.16628571428572,5397.142857142857,29305.285714285714,277.9942857142857,7.276999999999999,6.974857142857143,4879.857142857143,11.542857142857143,7.093714285714286,424.24285714285713,97.00714285714285,596.0142857142857,56.77571428571429
"(2010, 10070, 1)",9013.828571428572,938.2822857142858,13216.485714285714,238.98142857142855,3166.285714285714,79.08728571428571,2442.65,110.17942857142857,4923.0,35214.014285714286,252.41857142857143,9.410471428571428,8.806928571428571,6712.742857142857,2.630285714285712,8.766685714285714,526.8485714285714,99.65514285714286,821.9242857142857,72.971
"(2010, 10072, 1)",7045.542857142857,787.8635714285714,3347.571428571431,149.96571428571428,1863.3857142857144,60.815,1108.2285714285713,63.77984285714286,4275.9,26817.742857142857,137.4502857142857,5.4724714285714295,5.234414285714287,3829.328571428571,5.162285714285716,4.514157142857143,234.65571428571428,39.55614285714285,360.89,39.335142857142856
"(2010, 10078, 1)",6051.5142857142855,638.2755714285714,6292.942857142857,131.20714285714286,1889.3,49.553714285714285,1334.8428571428572,54.836,3240.9142857142856,23483.128571428573,105.60285714285715,5.117357142857143,4.818,3722.8571428571427,-5.420857142857143,5.074285714285715,338.9714285714286,67.81428571428572,449.3,40.92814285714286
"(2010, 10080, 1)",6003.642857142857,725.3207142857143,7010.928571428571,109.53571428571428,1949.9285714285713,41.24928571428572,608.5714285714284,59.504714285714286,1622.5,20206.0,14.361428571428576,5.353357142857142,5.285,3830.0,-6.791428571428568,4.418571428571428,309.4,68.31428571428572,255.92857142857147,31.579285714285714
"(2010, 10088, 1)",7469.542857142857,638.566142857143,3788.471428571429,161.67142857142858,2488.6428571428573,57.215,2037.3428571428572,86.40425714285715,5013.342857142858,26621.885714285716,252.50242857142857,7.243114285714286,6.410842857142857,5234.642857142857,9.590714285714286,6.601742857142856,405.8128571428571,62.04857142857143,591.5028571428571,57.95757142857143
