,"Calcium, Ca","Carbohydrate, by difference",Energy,"Fiber, total dietary","Folate, DFE","Iron, Fe","Magnesium, Mg",Niacin,"Phosphorus, P","Potassium, K",Protein,Riboflavin,Thiamin,"Vitamin A, RAE",Vitamin B-12,Vitamin B-6,"Vitamin C, total ascorbic acid",Vitamin E (alpha-tocopherol),Vitamin K (phylloquinone),"Zinc, Zn"
"(2010, 10013, 1)",6744.942857142857,361.7339999999999,-5698.742857142854,139.1257142857143,2424.114285714286,71.036,1447.7714285714285,71.82679999999999,2549.542857142857,21596.485714285714,164.54714285714286,6.612514285714286,5.632857142857142,5005.142857142857,3.4245714285714257,3.4191714285714294,264.82,33.357714285714295,446.9542857142857,45.26914285714285
"(2010, 10022, 1)",5991.457142857143,478.51771428571425,-3678.914285714287,126.85999999999997,1850.5714285714284,41.23685714285715,878.4857142857143,59.68948571428571,2612.5428571428574,18848.828571428574,79.10028571428575,5.250914285714286,5.433571428571429,3966.9142857142856,1.3142857142857167,3.269371428571429,296.7714285714286,33.96742857142857,428.0571428571429,34.597142857142856
"(2010, 10063, 1)",5019.457142857143,-138.75828571428588,3367.4285714285706,144.38857142857145,1907.9142857142856,34.97057142857143,1737.2,63.22971428571429,2689.914285714286,21810.057142857142,199.39171428571427,5.813542857142858,5.548742857142858,4127.828571428571,5.821142857142858,5.445142857142858,392.90285714285716,70.29914285714285,546.52,46.79457142857143
"(2010, 10066, 1)",5681.314285714286,549.4285714285714,5794.22857142857,133.57714285714283,2109.857142857143,66.11028571428571,1496.8,64.01771428571429,3288.4285714285716,21634.34285714286,135.89857142857144,5.6787142857142845,5.080571428571428,4265.4857142857145,0.7577142857142878,5.492800000000001,178.66857142857145,49.26314285714286,458.0628571428571,41.42142857142857
"(2010, 10069, 1)",7556.857142857143,514.4599999999999,5882.285714285714,154.37142857142857,2478.8571428571427,84.82285714285715,1943.4285714285713,76.33257142857143,4794.285714285714,25910.571428571428,235.98857142857142,6.954,6.449714285714286,4759.714285714285,6.885714285714286,5.287428571428572,348.48571428571427,93.01428571428572,577.0285714285715,53.55142857142857
"(2010, 10070, 1)",8127.657142857142,706.5645714285715,8232.971428571429,223.16285714285712,3032.5714285714284,64.17457142857143,1805.3,92.35885714285715,2096.0,29228.02857142857,83.83714285714285,8.720942857142857,8.013857142857143,6525.4857142857145,-14.539428571428573,6.533371428571429,408.6971428571428,76.31028571428571,808.8485714285714,60.942
"(2010, 10072, 1)",6391.085714285715,535.7271428571428,-5304.857142857138,131.93142857142857,1676.7714285714287,48.629999999999995,636.4571428571428,47.55968571428572,2771.8,22435.485714285714,46.900571428571425,4.644942857142858,4.268828571428573,3558.657142857143,-1.975428571428571,2.328314285714286,144.31142857142856,2.1122857142857043,246.78,29.670285714285715
"(2010, 10078, 1)",5603.028571428571,496.5511428571428,2985.885714285714,128.01428571428573,1828.6,42.10742857142857,1049.6857142857143,35.672,1421.8285714285712,20866.257142857143,-17.794285714285706,4.4347142857142865,3.935999999999999,3645.714285714286,-22.541714285714285,3.1485714285714286,332.9428571428571,62.628571428571426,448.6,35.85628571428572
"(2010, 10080, 1)",4507.285714285714,540.6414285714286,3021.857142857142,65.07142857142857,1849.857142857143,10.49857142857143,-402.8571428571431,41.009428571428565,-2115.0,11212.0,-200.27714285714285,4.606714285714285,4.57,3660.0,-25.882857142857137,2.0371428571428565,283.8,60.628571428571426,56.85714285714295,15.158571428571427
"(2010, 10088, 1)",6839.085714285715,367.1322857142858,-6023.057142857142,132.94285714285715,2277.285714285714,44.43,1574.6857142857143,70.8085142857143,3476.6857142857143,20543.77142857143,165.00485714285713,6.586228571428572,5.221685714285714,5069.285714285715,2.981428571428573,4.003485714285713,291.62571428571425,23.097142857142856,523.0057142857142,48.91514285714286
