,"Calcium, Ca","Carbohydrate, by difference",Energy,"Fiber, total dietary","Folate, DFE","Iron, Fe","Magnesium, Mg",Niacin,"Phosphorus, P","Potassium, K",Protein,Riboflavin,Thiamin,"Vitamin A, RAE",Vitamin B-12,Vitamin B-6,"Vitamin C, total ascorbic acid",Vitamin E (alpha-tocopherol),Vitamin K (phylloquinone),"Zinc, Zn"
"(2010, 10040, 1)",143.11428571428564,-549.1625714285715,-16303.2,14.328571428571436,296.65714285714284,-18.722285714285718,-475.1428571428569,-41.02005714285713,-5657.999999999999,-9056.914285714283,-352.26514285714285,-0.6443142857142865,-1.1576571428571438,998.3428571428572,-59.24000000000001,-7.126771428571429,-68.98857142857145,-59.91314285714286,29.71142857142857,-6.12257142857143
"(2010, 10042, 1)",-3086.3714285714277,-2046.2857142857142,-32987.48571428572,-116.04857142857139,-611.3428571428572,-49.291142857142866,-1464.4857142857143,-47.1362,-5474.257142857143,-23736.685714285715,-323.0754285714286,-2.391342857142858,-4.180114285714285,469.8571428571429,-9.820571428571428,-9.08725714285714,-522.5771428571428,-72.55485714285713,-52.63714285714286,-29.25999999999999
"(2010, 10045, 1)",758.3714285714295,-1536.206285714285,-27118.057142857142,-56.537142857142896,1143.2857142857142,-32.63485714285713,-1327.971428571429,-9.997514285714274,-3731.114285714286,-2053.1142857142877,-287.4354285714286,-0.5968571428571421,-0.273485714285715,2488.2,-10.364571428571425,-3.4016857142857146,-596.9714285714285,-7.105428571428561,-642.1942857142856,-12.312285714285721
"(2010, 10046, 1)",1988.8571428571431,-1714.8428571428572,-29357.457142857136,-54.21142857142857,456.02857142857147,-14.068285714285715,-707.5714285714284,-21.740914285714283,-5489.5428571428565,-20895.828571428574,-281.60685714285717,0.8569428571428577,-0.21442857142857186,1848.0,-32.43257142857143,-9.98862857142857,-427.1485714285715,-34.9457142857143,-55.22571428571439,-5.437428571428576
"(2010, 10049, 1)",-275.6285714285714,-771.2011428571427,-17344.371428571427,-25.759999999999994,-80.59999999999991,-16.82257142857143,-561.9714285714285,-14.837628571428574,-2379.314285714286,-8741.22857142857,-122.54142857142861,-0.3059142857142856,-1.1651428571428568,318.8571428571429,-10.953999999999999,-4.091828571428572,-192.13714285714286,-62.16514285714284,-108.90285714285716,-5.83942857142857
"(2010, 10050, 1)",-831.7714285714287,-919.9857142857145,-19309.8,-62.542857142857144,-120.97142857142853,-16.411142857142863,-751.4857142857143,-17.446714285714283,-2419.314285714286,-8810.914285714283,-145.03285714285713,-0.4599142857142857,-1.5981428571428569,320.8571428571429,-10.83742857142857,-3.711142857142857,-319.65714285714284,-63.221428571428575,-222.12857142857138,-9.486
"(2010, 10051, 1)",344.71428571428555,-842.5625714285713,-19613.114285714288,4.454285714285717,332.0857142857143,-20.590285714285713,-402.1714285714286,-13.683514285714281,-2927.4285714285706,-5112.685714285713,-147.07542857142852,0.5532285714285714,-0.3232571428571429,1557.6857142857143,-11.513714285714283,-3.6807142857142847,-239.68,-46.28542857142857,168.5657142857143,-11.78971428571429
"(2010, 10052, 1)",-3036.3714285714286,-1841.0814285714287,-30450.228571428575,-174.0857142857143,501.34285714285716,-75.8977142857143,-2661.971428571429,-6.697485714285712,-6575.028571428573,-24379.4,-383.68514285714286,0.2067142857142854,-0.7612857142857141,1778.6857142857143,-1.717142857142857,-6.910685714285713,-217.74,-36.136571428571415,-643.6342857142856,-30.482285714285716
"(2010, 10055, 1)",-143.45714285714166,-3035.693428571428,-38555.885714285716,-104.05999999999996,208.08571428571418,-49.25714285714288,-2312.4571428571426,-25.871857142857152,-10085.628571428568,-37950.99999999999,-535.6945714285715,0.8656571428571436,-0.8338571428571431,1874.2285714285713,-26.670857142857137,-11.4256,-500.3371428571429,-56.639428571428596,-160.0857142857143,-41.97399999999999
"(2010, 10057, 1)",-1551.2857142857142,-856.5519999999999,-19969.857142857145,-50.348571428571425,128.80000000000007,-28.56257142857143,-877.8571428571427,-24.44637142857144,-4945.885714285715,-13173.657142857144,-317.6062857142857,-0.12025714285714262,-1.133457142857143,978.7142857142858,-33.42142857142858,-5.342857142857141,-145.6257142857143,-55.292571428571435,-158.77428571428572,-11.913428571428579
"(2010, 10073, 1)",-1681.3714285714286,-887.9525714285713,-20551.02857142857,-52.19142857142856,136.71428571428572,-5.514285714285716,-242.5428571428572,-6.415628571428574,-961.4285714285713,-7415.0,-85.2357142857143,-0.15694285714285683,-1.0155714285714286,476.8571428571429,-2.800571428571429,-2.7796571428571424,-86.70285714285717,-26.12914285714286,-137.0228571428571,-0.7971428571428572
"(2010, 10075, 1)",-1000.0285714285715,-345.74771428571427,-7311.5142857142855,-58.67428571428571,137.25714285714287,-31.382571428571424,-628.4857142857143,-11.270685714285712,-2145.171428571428,-3160.7999999999984,-119.47914285714285,-0.3379142857142854,-1.0799714285714281,421.42857142857144,-7.482857142857142,-1.033285714285714,-18.50285714285714,7.480571428571428,-374.1314285714285,-5.485428571428571
"(2010, 10081, 1)",-19.571428571428896,-238.18228571428568,-12526.885714285714,-26.30857142857142,92.05714285714282,-15.884571428571427,-664.8285714285714,-10.97334285714285,-3239.8571428571427,-8476.857142857141,-175.85314285714284,0.16945714285714308,-0.5727714285714285,450.9428571428572,-20.425714285714285,-3.0859999999999994,-91.2942857142857,-29.448,-11.054285714285712,-7.692857142857143
"(2010, 10083, 1)",-1095.4857142857136,-866.2237142857143,-19905.31428571429,-6.1200000000000045,422.51428571428573,-16.93942857142857,-803.5999999999999,-13.326999999999998,-2285.485714285714,-5323.5999999999985,-161.37914285714282,0.05657142857142894,-0.8304857142857145,1207.0857142857144,-5.941714285714286,-2.5866857142857147,-250.72571428571422,-24.672571428571423,135.2057142857143,-11.020857142857139
"(2010, 10087, 1)",194.6857142857143,-675.4251428571429,-15827.628571428573,-30.551428571428566,-23.628571428571377,-11.860857142857142,-535.6285714285715,-4.24437142857143,-1650.5428571428574,-7424.657142857142,-81.11514285714286,0.0036000000000002697,-0.598942857142857,210.22857142857146,-4.786571428571429,-2.9122571428571424,-183.42571428571426,-59.04171428571428,-140.32857142857142,-6.264857142857142
"(2010, 10093, 1)",-354.05714285714294,-898.6734285714285,-17870.828571428574,-24.857142857142854,4.914285714285711,-17.295142857142856,-438.7142857142858,-14.455999999999996,-2299.6,-7201.914285714285,-129.91657142857142,-0.0905714285714283,-1.0875999999999995,513.2571428571429,-11.85657142857143,-2.8317999999999994,-130.25714285714287,-62.67571428571428,-17.222857142857123,-6.734857142857141
"(2010, 10095, 1)",-1891.171428571428,-1243.148,-28440.28571428571,-106.54857142857142,-392.0857142857142,-50.75971428571429,-1727.3142857142855,-26.889742857142856,-5385.828571428572,-23347.77142857143,-249.76485714285724,-2.0778285714285714,-3.2299714285714276,-356.9428571428573,-0.12857142857142856,-7.627285714285714,-475.1342857142856,-29.74885714285714,-279.7257142857142,-37.26571428571429
