,"Calcium, Ca","Carbohydrate, by difference",Energy,"Fiber, total dietary","Folate, DFE","Iron, Fe","Magnesium, Mg",Niacin,"Phosphorus, P","Potassium, K",Protein,Riboflavin,Thiamin,"Vitamin A, RAE",Vitamin B-12,Vitamin B-6,"Vitamin C, total ascorbic acid",Vitamin E (alpha-tocopherol),Vitamin K (phylloquinone),"Zinc, Zn"
"(2010, 10097, 1)",5053.657142857142,433.8217142857143,137.82857142857392,141.89714285714288,2713.657142857143,3.7520000000000095,-338.6857142857143,6.067771428571433,-4605.199999999999,12088.742857142857,-455.12571428571437,4.810057142857143,3.7777714285714294,5239.428571428572,-65.90285714285714,0.7120000000000033,384.90857142857146,90.47257142857143,567.0228571428572,20.25885714285714
"(2010, 10100, 1)",649.4285714285716,-116.42571428571432,-7390.571428571431,45.11428571428572,1230.857142857143,-16.99142857142857,-257.1428571428571,-3.9879999999999995,-2662.857142857143,5314.857142857143,-165.7028571428571,1.6151428571428577,-0.8022857142857127,2747.4285714285716,-5.408571428571429,2.0897142857142854,227.5142857142857,46.222857142857144,313.34285714285716,0.02571428571428669
"(2010, 10106, 1)",4142.114285714286,57.4268571428571,-15231.714285714286,104.36571428571429,1820.2285714285715,6.196571428571431,91.71428571428578,57.9932,-1613.4285714285706,12018.914285714285,-27.339999999999975,5.270914285714286,5.129714285714286,4074.7428571428572,3.171428571428571,3.264457142857143,263.0114285714286,-3.1045714285714325,458.32,16.169714285714285
"(2010, 20001, 1)",6597.428571428572,225.07714285714292,-85657.14285714287,182.85714285714286,2370.0,59.40571428571428,2062.5714285714284,89.19,4232.571428571428,28571.142857142855,278.68857142857144,7.635999999999999,6.922857142857143,5252.285714285715,15.3,5.925428571428572,431.9142857142857,-339.69428571428574,396.4285714285714,55.89142857142857
"(2010, 20007, 1)",3076.5714285714284,-239.45142857142878,-1593152.8571428573,28.285714285714278,1844.857142857143,-15.622857142857143,-779.4285714285716,36.14914285714285,-1478.2857142857138,9864.857142857141,-153.2971428571429,4.036,3.478,3826.285714285714,0.19142857142857217,2.161714285714286,301.9428571428571,-6764.202857142856,-3413.714285714286,2.3028571428571425
"(2010, 20008, 1)",6186.708571428571,276.4714285714286,-3107.4114285714295,90.11428571428571,1996.6742857142858,56.40085714285714,1674.3542857142857,67.8956,4475.862857142857,25718.285714285714,167.4886857142857,5.785622857142857,5.685325714285715,4075.3371428571427,9.121942857142855,5.742011428571429,380.0,41.21942857142857,477.7622857142857,45.46308571428571
"(2010, 20014, 1)",11338.914285714285,1296.0085714285715,5587.82857142857,255.43428571428575,3497.0857142857144,94.03428571428572,2752.342857142857,111.32405714285714,8361.771428571428,49070.45714285714,356.72171428571426,9.434857142857142,7.774057142857143,7095.371428571429,21.0,11.376971428571428,600.0,96.12,795.0228571428571,81.27028571428572
"(2010, 20016, 1)",3824.5142857142855,88.7537142857143,-19021.142857142855,101.98857142857143,1509.3142857142857,43.71028571428572,1337.8285714285714,46.2984,2250.5714285714284,16836.514285714286,153.28742857142856,4.214971428571429,4.299257142857143,3017.0857142857144,4.071428571428571,4.324971428571428,271.39428571428573,-78.34285714285713,318.4742857142857,26.068571428571428
"(2010, 20017, 1)",8984.285714285714,1170.0,6143.085714285715,224.0,2797.1428571428573,93.70114285714286,2344.285714285714,101.25714285714285,6485.714285714285,37550.0,308.8857142857143,8.455714285714285,8.267142857142856,5662.857142857143,12.142857142857144,8.702857142857143,505.0,36.19657142857142,651.4628571428572,67.536
"(2010, 20021, 1)",9564.571428571428,-37.40000000000009,-15033.885714285716,105.19999999999999,2351.4285714285716,83.14571428571428,1533.6857142857143,56.27428571428571,4325.142857142857,20692.0,197.8942857142857,6.727142857142857,4.989142857142857,6700.0,19.171428571428567,-1.3622857142857132,131.4285714285714,122.65714285714286,794.2857142857143,65.53714285714285
"(2010, 20031, 1)",2975.1428571428573,-127.69142857142856,-24643.71428571429,13.685714285714283,1343.142857142857,1.9285714285714235,390.0,21.99428571428571,1793.7142857142858,14994.285714285714,25.754285714285714,2.498571428571429,2.1440000000000006,2893.714285714286,1.628571428571429,1.3091428571428567,240.97142857142856,-85.1,-225.39999999999986,11.222857142857144
"(2010, 20032, 1)",4132.799999999999,-856.4057142857143,-19920.285714285717,24.85714285714286,1721.6571428571428,12.117714285714278,721.0285714285712,75.25542857142857,3681.885714285714,20783.085714285713,177.46285714285716,5.571657142857143,4.691428571428572,4355.428571428572,13.40057142857143,3.9302857142857137,260.5142857142857,-58.55142857142857,-465.0857142857142,46.34
"(2010, 20033, 1)",5432.571428571428,807.8971428571429,3636.000000000002,173.42857142857144,2539.714285714286,45.39428571428571,1358.5714285714287,48.505714285714284,-2437.7142857142862,20048.285714285714,-119.74000000000001,6.414571428571429,5.85,5357.142857142857,-57.485714285714295,2.160000000000001,537.8571428571429,50.777142857142856,542.8,54.231428571428566
"(2010, 20034, 1)",8616.0,-345.13142857142884,-60330.28571428571,104.68571428571428,3321.4285714285716,67.59428571428572,2022.6857142857145,54.945142857142855,7554.571428571428,45975.42857142857,178.28000000000003,6.676571428571426,1.9302857142857146,7129.142857142857,24.299999999999997,4.626857142857144,104.28571428571422,-185.76,710.8,64.48571428571428
"(2010, 20037, 1)",9714.285714285714,928.5428571428572,-73411.42857142858,217.77142857142857,2874.285714285714,99.05714285714285,2277.1428571428573,106.57142857142857,6431.428571428572,39100.0,313.9428571428571,8.488571428571428,8.22857142857143,5700.0,17.4,8.702857142857143,510.0,-257.6857142857143,507.1428571428571,64.8
"(2010, 20040, 1)",8398.571428571428,726.9657142857143,-9250.571428571428,112.7714285714286,1887.142857142857,62.56,673.1428571428571,-20.066000000000003,3751.142857142857,30349.14285714286,115.92285714285711,6.619714285714286,6.890571428571429,5853.428571428572,16.871428571428574,4.058571428571429,479.7714285714286,-38.82571428571427,390.1428571428572,46.98571428571429
"(2010, 20042, 1)",5425.360000000001,714.7030857142857,-1972.045714285714,93.76971428571429,1312.594285714286,42.29142857142857,654.7714285714285,45.11074857142857,3311.937142857143,22157.862857142856,108.07199999999999,4.249497142857143,3.6549200000000006,3228.285714285714,3.121428571428572,2.5952571428571423,108.4194285714286,11.205942857142858,-46.01142857142855,21.900285714285715
"(2010, 20043, 1)",2589.4285714285716,400.98,1926.2857142857138,12.54285714285713,1098.857142857143,15.342857142857142,381.1428571428571,43.811142857142855,2134.285714285714,13472.285714285714,102.68857142857144,3.1954285714285713,3.224,2415.1428571428573,7.5,2.568285714285714,171.94285714285712,13.24857142857143,-217.94285714285718,23.365714285714287
"(2010, 20049, 1)",16029.337142857143,1166.3257142857142,-640.6057142857171,375.18285714285713,4925.28,158.01834285714284,3667.994285714286,91.92875428571428,7865.0,58855.2,231.2264571428571,11.442359999999997,12.649359999999998,10148.091428571428,9.781428571428574,6.09313714285714,850.1085714285714,118.60257142857145,1140.4994285714286,72.42017142857142
"(2010, 20050, 1)",2253.4285714285716,152.37428571428572,544.2857142857147,32.51428571428572,928.2857142857142,8.185714285714287,486.97142857142853,-2.9834285714285684,545.7142857142858,8650.571428571428,-32.5457142857143,1.8040000000000003,1.8802857142857146,1972.857142857143,-14.35714285714286,0.3494285714285712,159.65714285714284,35.22,8.057142857142878,10.631428571428572
"(2010, 20052, 1)",5013.428571428571,-329.9885714285715,-44282.857142857145,16.371428571428538,1291.1428571428569,29.52285714285714,788.6285714285714,24.320000000000007,2860.2857142857138,5664.0,135.6914285714286,3.603142857142858,-2.2445714285714295,4226.285714285714,14.4,-3.369714285714287,-273.8285714285714,-60.38285714285715,234.2285714285714,38.30571428571429
"(2010, 20053, 1)",-46.285714285714675,-12.860000000000014,-20970.0,-3.142857142857153,966.8571428571429,-31.18285714285713,-1172.5714285714284,13.565999999999995,-3501.7142857142862,-1414.0,-174.55714285714282,1.9305714285714286,1.2074285714285717,2130.0,3.2999999999999994,1.4585714285714282,169.97142857142856,-29.50857142857143,-10.885714285714243,-19.35142857142857
"(2010, 20060, 1)",1734.6285714285723,-127.82971428571432,-23037.257142857146,-127.82857142857142,855.4285714285713,-29.074285714285722,-805.1428571428573,21.64399999999999,1356.8571428571427,9297.82857142857,-8.177142857142854,2.2230857142857143,1.653142857142857,2840.0,-0.8857142857142843,-1.726285714285713,-41.6571428571429,-18.05142857142856,-1397.3999999999999,1.3520000000000039
"(2010, 20061, 1)",3784.285714285714,-233.08000000000015,-25423.714285714283,22.14285714285714,1590.5714285714287,6.585714285714282,594.0,38.17942857142857,1820.2857142857142,16794.857142857145,62.50285714285715,3.5820000000000003,4.336571428571427,3433.714285714286,-1.4857142857142858,1.9582857142857137,271.8285714285714,-76.87714285714284,-323.94285714285706,14.365714285714283
"(2010, 20062, 1)",10331.428571428572,226.54857142857122,-26888.285714285717,12.25714285714281,949.1428571428573,71.58571428571427,-2205.142857142857,-266.596,-2246.0,30049.428571428572,-410.1628571428572,3.6725714285714286,4.195714285714285,6869.714285714285,8.311428571428571,-4.161714285714286,477.0,-72.51142857142858,762.0857142857143,0.9885714285714187
"(2010, 20068, 1)",7922.434285714286,920.024,5330.754285714285,193.2,2422.154285714286,78.67371428571428,1943.6742857142858,71.90911428571428,4700.937142857143,32669.17142857143,200.70445714285714,6.688205714285715,7.009417142857142,4848.72,2.3829142857142873,6.333017142857142,440.0,68.43314285714285,603.7291428571428,43.439771428571426
"(2010, 20075, 1)",34506.28571428572,2925.382857142857,-1406.2857142857174,831.5999999999999,10900.0,253.97142857142856,9574.285714285714,305.0,23128.571428571428,133755.42857142858,884.7142857142857,29.033714285714293,30.971428571428575,22585.714285714286,5.171428571428564,27.22857142857142,2100.0,137.02857142857147,2606.8571428571427,159.97714285714284
"(2010, 20082, 1)",8254.857142857143,772.1828571428572,-5476.857142857145,151.88571428571424,3453.714285714286,69.16857142857143,2198.285714285714,75.38628571428572,4972.0,35076.0,205.27428571428572,8.214285714285715,9.617714285714285,7090.857142857143,-2.1142857142857103,6.375428571428573,651.7142857142858,63.90285714285713,47.80000000000018,34.07428571428571
